Equipo,Clasificacion_por_Puntos,Partidos_Jugados,Partidos_Ganados,Partidos_Perdidos,Sets_a_Favor,Sets_en_contra,Puntos_a_Favor,Puntos_en_Contra,Resultados_3-0,Resultados_3-1,Resultados_3-2,Resultados_2-3,Resultados_1-3,Resultados_0-3,Coef_Sets,Coef_Puntos,Sanciones,Posicion_final_act,Temp,0,1,Posicion_final_Ant,Eficacia_Recepcion_Fin,Eficacia_Ataques_Punto_Fin,Efectividad_Saque_Fin,Efect_Bloqueo_Fin,Coef_Efec_Puntos_Fin,Eficacia_Recepcion_Ini,Eficacia_Ataques_Punto_Ini,Efectividad_Saque_Ini,Efect_Bloqueo_Ini,Coef_Efec_Puntos_Ini
Madrid_Chamberi,12.0,20.0,3.0,17.0,22.0,53.0,1510.0,1743.0,1.0,2.0,0.0,3.0,7.0,7.0,42.0,866.0,-,10,19/20,,,10,0.585,0.3116666666666667,0.05893041704605035,0.39674802172981694,6.120470352087999,0.5775,0.4,0.04616991157609835,0.29967427892345394,6.713024475524476
Sant_Cugat,11.0,20.0,4.0,16.0,20.0,53.0,1492.0,1687.0,1.0,1.0,2.0,1.0,6.0,9.0,38.0,884.0,-,11,19/20,,,9,0.629,0.286,0.056052326739298546,0.2559845233208561,6.364210526315789,0.54,0.26375,0.05215809819131503,0.199671259999601,5.69237012987013
Barça,1.0,19.0,0.0,19.0,6.0,57.0,1087.0,1543.0,0.0,0.0,0.0,1.0,4.0,14.0,11.0,704.0,-,12,19/20,,,2,0.426,0.246,0.05799230766487248,0.16934293409148343,3.857989203778678,0.265,0.41000000000000003,0.04073131219625087,0.34673659673659674,5.175925925925926
Logroño,60.0,22.0,20.0,2.0,61.0,11.0,1774.0,1331.0,15.0,5.0,0.0,0.0,1.0,1.0,555.0,1333.0,-,1,18/19,,,1,0.668888888888889,0.37444444444444447,0.05712857905635684,0.2837835072148947,5.895796262198499,0.63,0.37375,0.06124709654728407,0.40365700313735925,7.847637014409878
Barça,50.0,22.0,18.0,4.0,59.0,27.0,1987.0,1749.0,8.0,5.0,5.0,1.0,3.0,0.0,219.0,1136.0,-,2,18/19,,,10,0.52875,0.3975,0.05272894828787178,0.32358782276014875,7.8091212330342765,0.6657142857142857,0.2714285714285714,0.06887470381204135,0.3512445887445887,5.775309485835801
Alcobendas,48.0,22.0,16.0,6.0,54.0,27.0,1899.0,1664.0,9.0,5.0,2.0,2.0,2.0,2.0,200.0,1141.0,-,3,18/19,,,9,0.62,0.26571428571428574,0.04394066894506857,0.14709040695924386,5.949829931972789,0.5266666666666667,0.30333333333333334,0.06020849893165412,0.24512836700336701,5.7401002506265675
Libby's_La_Laguna,47.0,22.0,17.0,5.0,53.0,28.0,1839.0,1704.0,8.0,5.0,4.0,0.0,2.0,3.0,189.0,1079.0,-,4,18/19,,,2,0.6618181818181819,0.2981818181818182,0.06929834144477351,0.39451173173743703,6.768623901351174,0.6157142857142857,0.3457142857142857,0.0672332532161214,0.4512849482257099,7.539711871948714
Avarca_de_Menorca,43.0,22.0,14.0,8.0,50.0,33.0,1857.0,1737.0,7.0,5.0,2.0,3.0,2.0,3.0,152.0,1069.0,-,5,18/19,,,5,0.7414285714285713,0.2542857142857143,0.0749169834246515,0.20492321276139228,6.535034013605442,0.64,0.414,0.08928269632969908,0.16475,6.755021645021645
CCO_7_PALMAS,43.0,22.0,14.0,8.0,49.0,33.0,1855.0,1758.0,6.0,7.0,1.0,2.0,3.0,3.0,148.0,1055.0,-,6,18/19,,,4,0.5121428571428571,0.34071428571428575,0.049857239397558345,0.2228693601656262,5.553798185941043,0.54,0.27749999999999997,0.06262185379031965,0.2857764130565769,7.214420289855072
Haro_Rioja,24.0,22.0,8.0,14.0,34.0,49.0,1760.0,1866.0,3.0,3.0,2.0,2.0,6.0,6.0,69.0,943.0,-,7,18/19,,,6,0.4725,0.34,0.06832958794657294,0.23419196896171196,5.945802005012531,0.592,0.266,0.05494701978580022,0.281924971580144,5.3571291866028705
Dos_Hermanas,20.0,22.0,7.0,15.0,29.0,50.0,1675.0,1819.0,3.0,3.0,1.0,0.0,8.0,7.0,58.0,921.0,-,8,18/19,,,7,0.5672727272727273,0.2690909090909091,0.05071931521029715,0.3260770345120123,5.78684457253976,0.585,0.25,0.0549740497392663,0.3927460748792271,7.104256854256854
Sant_Cugat,20.0,22.0,5.0,17.0,29.0,55.0,1658.0,1892.0,2.0,2.0,1.0,6.0,2.0,9.0,53.0,876.0,-,9,18/19,,,8,0.5575,0.26333333333333336,0.052385154397655787,0.2048905807703717,5.282117882117882,0.5185714285714286,0.3057142857142857,0.0766495634495931,0.2593999225706543,4.681418581418582
Madrid_Chamberi,17.0,22.0,6.0,16.0,28.0,58.0,1721.0,1987.0,0.0,2.0,4.0,3.0,4.0,9.0,48.0,866.0,-,10,18/19,,,13,0.5810000000000001,0.39,0.04248200596241939,0.23973942313876315,5.475181485181485,0.47333333333333333,0.33666666666666667,0.045293566471326256,0.27050659264399723,5.411255411255411
Elche,16.0,22.0,5.0,17.0,26.0,58.0,1681.0,1951.0,0.0,3.0,2.0,3.0,5.0,9.0,45.0,862.0,-,11,18/19,,,13,0.4772727272727273,0.24181818181818182,0.05310558327657726,0.16921367511815957,4.649782514136581,0.7,0.115,0.24,0.0,0.5625
Emeve,8.0,22.0,2.0,20.0,20.0,63.0,1705.0,1953.0,0.0,1.0,1.0,3.0,8.0,9.0,32.0,873.0,-,12,18/19,,,13,0.6142857142857142,0.26999999999999996,0.03037575321340801,0.4072972312468111,6.75863739435168,,,,,
Logroño,59.0,22.0,20.0,2.0,64.0,17.0,1914.0,1490.0,12.0,5.0,3.0,2.0,0.0,0.0,376.0,1285.0,-,1,17/18,,,1,0.647,0.328,0.06910975526057725,0.3781719079286066,6.781291429709721,0.70375,0.39125,0.06945811093163555,0.3205732345566832,7.923605931105931
Libby's_La_Laguna,46.0,22.0,17.0,5.0,56.0,31.0,1963.0,1777.0,7.0,4.0,6.0,1.0,3.0,1.0,181.0,1105.0,-,2,17/18,,,13,0.676923076923077,0.3323076923076923,0.052760080180411895,0.4831177328684188,6.269042155498598,0.49000000000000005,0.248,0.05840260856718297,0.560702614379085,4.746112721417069
Tenerife_sur,46.0,22.0,16.0,6.0,55.0,31.0,1983.0,1807.0,8.0,3.0,5.0,3.0,1.0,2.0,177.0,1097.0,-,3,17/18,,,13,0.58,0.435,0.035931831184391076,0.42098214285714286,6.729023892773893,0.6950000000000001,0.32,0.013245033112582781,0.26851851851851855,5.25
CCO_7_PALMAS,45.0,22.0,17.0,5.0,55.0,31.0,1976.0,1807.0,7.0,4.0,6.0,0.0,4.0,1.0,177.0,1094.0,-,4,17/18,,,13,0.533076923076923,0.3353846153846154,0.04930938494423073,0.46940987587393074,6.701395392047567,0.52,0.4,0.10145659678369959,0.5167155425219941,9.595833333333333
Avarca_de_Menorca,43.0,22.0,13.0,9.0,51.0,30.0,1836.0,1689.0,10.0,3.0,0.0,4.0,4.0,1.0,170.0,1087.0,-,5,17/18,,,7,0.6066666666666667,0.40222222222222226,0.06919543109241687,0.2759972318744657,6.641591668565352,0.54125,0.31625000000000003,0.04560506236500492,0.32022464750732943,7.039327485380117
